comments_disabled,id,shortcode,taken_at_timestamp,display_url,is_video,location_id,location_name,location_slug,location_latlong,edge_media_to_caption.edges,edge_media_to_comment.count,dimensions.height,dimensions.width,edge_liked_by.count,edge_media_preview_like.count,owner.id,video_view_count
False,2515330709644921598,CLoP_QhBEr-,1614070808,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/152481600_483900996346852_3541467947255864106_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=2_iiuSgQ4kUAX9yu1U7&tp=1&oh=41af71e72671576d0cfcb4bfbe0bcec5&oe=605FD2DC,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': 'Inaugurazione della Pinacoteca di Brera ricostruita dopo i bombardamenti del 1943.\n\nMilano, 9 giugno 1950\n\n#folle @intesasanpaolo per @artissimafair in @gamtorino \n\n#contemporaryart #exibition #artecontemporanea'}}]",0,1087,1080,5,5,468345642,
False,2514958029446846535,CLm7QDCMhhH,1614026381,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/152057418_503898804334897_2057102101903324762_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=VcOKXHrjuN0AX8XbIfZ&tp=1&oh=aa4d7ecd2b839679d152987896a67e3c&oe=605E175E,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[],0,1080,1080,6,6,15538796918,
False,2514193060905508528,CLkNUSkBl6w,1613935190,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/152375190_185938156216650_7567306611817335514_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=jsISBOwYjBEAX8Ag1HS&tp=1&oh=49091463a6a721628cb7b1a71c29e3a1&oe=605F6ED5,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': 'Mario Merz, 1968'}}]",0,600,750,33,33,522626411,
False,2514015463933237731,CLjk76flFnj,1613914019,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/151982805_1536393173238037_8795877652694112551_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=7lCanmUDsjoAX8_dIkV&tp=1&oh=997f52a5396fe61d552e8f40c523711f&oe=60603333,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': 'Requiem, Giulio Paolini (2003-2004)\n\n.\n.\n\n@igersitalia @igerstorino @volgoitalia @volgotorino @yallersitalia @yallerspiemonte @loves_united_torino @new_photoitaly @scatto_torino @gamtorino \n.\n.\n.\n#igersitalia #ig_torino #yallersitalia #yallerspiemonte #volgoitalia #volgotorino #newphoto_italy #artgallery #artistsoninstagram #artexhibition #folkmagazine #longexposure #shotoniphone #iphoneonly #agameoftones #silhouette #awesome_hdr #awesome_earthpix #contemporaryart #arte #photography #modernart #artofvisuals #visualsgang #arttribune #art #turin #piano #neverstopexploring #scattotorino'}}]",5,1350,1080,74,74,30688538,
False,2513954519051466465,CLjXFDJjPbh,1613906753,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/153261295_2094140300715992_2131130780296544090_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=108&_nc_ohc=mPRvRcQT-BMAX_iyxSN&tp=1&oh=ec1255a70d489398cd5deaa9dad65cf3&oe=605F9D0A,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': ""My Mood Of The Day\n🦥🦥🦥\nFelice Carena\nEstate (L'amaca) - 1933\n😴😴😴\n#felicecarena #artoftheday #artlovers #artgallery #gam #gamgalleriadartemodernatorino #amaca #sleeping #moodoftheday""}}]",0,810,1080,13,13,5735630026,
False,2513913320617915561,CLjNtiHjbSp,1613901842,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/151835240_196365162272087_8133753214566454698_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=zQNuDUEeP5YAX9v6aVI&tp=1&oh=91947a235cfb486ef84b2fecc76b7b77&oe=605D1CEB,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '•••\ntempeste emotive \n🌦️'}}],0,1350,1080,19,19,384155476,
False,2513361516894736179,CLhQPu2pc8z,1613836062,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/151271146_275957950612766_7219952831111687000_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=0c4xA1hfTiAAX_3XKY_&tp=1&oh=9e40833ccf41794ec50ec3b16df211d3&oe=605E0386,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': ""La donna e l'armatura, Felice Casorati""}}]",0,1110,1080,268,268,4830497796,
False,2513291763329193073,CLhAYryJtRx,1613827747,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/152397827_824589498093206_1720611922203957019_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=RMia04XIwLYAX8NGD2g&tp=1&oh=a4e5ba140eab5ca954a2c62ba23fee81&oe=605F7A4A,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': 'Autoritratto in forma di guffo, Alberto Savinio (Andrea de Chirico)'}}]",0,600,480,121,121,4830497796,
False,2513255815097196850,CLg4NkYjaEy,1613823461,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/151589288_163546192097678_4790788818622295801_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=Su4H5HSxL5sAX9Z1t-3&tp=1&oh=f171631dd3fceeb1fa25b61b31dc7385&oe=605FA270,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': 'Look my soul...\nLook the caos inside me...\n👩🏻\u200d🎨🎨💥\n.\n#pinotgallizio #gam #gamtorino #gamtorinocittadarte #artoftheday #artsy #artistsoninstagram #sindromedistendhal #modernart #iloveart #intotheart \n#super_art_channel #ig_art #ig_artgallery #artaddicted #enjoy_arte #art_creative_pictures #thehub_arte'}}],0,647,1080,34,34,5735630026,
False,2513251371871332937,CLg3M6Tp2pJ,1613822932,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/151031928_769025453995607_9017862162066617770_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=C-gcnikpj2MAX8MGr-k&tp=1&oh=47d7f16a4c1fc25956dc392b7833df1a&oe=605D6652,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': 'Finestra, Italo Cremona'}}]",0,778,640,265,265,4830497796,
False,2513228363286861190,CLgx-F5JlWG,1613820189,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/152206742_498942681111877_2082517711576529865_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=6riS14It0NIAX9-OZgJ&tp=1&oh=2e32ae2520d721d54b56f86ecf9f7cb9&oe=605FF1A4,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': 'San Giovanni, Luigi Spazzapan'}}]",0,600,480,152,152,4830497796,
False,2513206354532939785,CLgs90pMLgJ,1613817565,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/151731335_128406399183545_8093769515602349326_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=wreTAct69hkAX-AxZo3&tp=1&oh=4a9a177a825ba4fcbc59604362a6d280&oe=606057DD,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '𝘼𝙧𝙩 ✨\n\n#art #museum #aesthetic #picoftheday #artistic #artoftheday #loveart #pictureoftheday'}}],2,1350,1080,118,118,27893865799,
False,2513197112274369245,CLgq3VHprrd,1613816463,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/151787769_3679047108843624_268948060867763686_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=yxFfQqmXYi0AX95ZmKS&tp=1&oh=6f3cd8a7aa428a59d84a513910ac23ee&oe=605CACB9,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': 'Le tre finestre, Jessie Boswell'}}]",0,754,1080,279,279,4830497796,
False,2513193857561591875,CLgqH97pwBD,1613816075,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/152379873_1000031133738594_6292298892430692764_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=UbaBzfBiR8MAX8_GYfi&tp=1&oh=8a97fd244f20b8558a8d24b30a579df9&oe=605EA77A,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': 'Il Bacio, Francis Picabia'}}]",0,1297,1080,211,211,4830497796,
False,2512853642607989930,CLfcxMEMhSq,1613775519,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/151088470_929716597568110_8541343770447366945_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=rO3YB_3uGdwAX8QGKM1&tp=1&oh=62fb291f4ecb938c23f3ff1bb5f160cf&oe=605CB6D7,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '#gilbertozorio #gamtorino #visittorino #laculturacura #lottaperimuseiaperti'}}],0,1080,1080,2,2,3160398774,
False,2512817189036737279,CLfUeuCB8L_,1613771173,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/151118955_3635356996533127_4652902440086979344_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=Cqx1HY6AT0EAX-46WBh&tp=1&oh=8cfbd381579764b27b841638519befae&oe=605D0AED,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '@gamtorino 💙\n.\n.\n.\n.\n.\n#gam#gamtorino#galleriadartemoderna#neon#allarthasbeencontemporary#torino#modernart#contemporaryart#italianart#balla#casorati#kounellis#artdaily#artoftheday#artjournal#photodaily#artgram#art#artaddicted#artblog#artlovers#artsy#gallerypeople#kunst#artistsoninstagram#artgallery#artcollector#artcurator#artcollection#museum'}}],0,1349,1080,93,93,3011059,
False,2512753886766317172,CLfGFjMsD50,1613763627,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/151035753_468130040986354_1471770388206968186_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=GC36-oIF87wAX-76MVm&tp=1&oh=1e1c055c897f65388839530efa7a2080&oe=605ED354,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '-\n-\ncalde vibrazioni\nticchetta il tacco da donna\nmodesta vanità'}}],2,1350,1080,57,57,2202667728,
False,2512603764605575095,CLej8_Cn9-3,1613745731,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/151807017_1165981513861297_7967849022268338647_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=LpYpl5UGo7sAX_Td3fZ&tp=1&oh=991f3f233e082efacdbe20470ef0d4e7&oe=605CF2E7,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': 'Modern art🖤\n\n.\n.\n.\n#contemporaryart #redlips #art #museum #italy #современноеискусство #арт'}}],1,1080,1080,26,26,202390392,
False,2512495601708363728,CLeLXAfju_Q,1613732837,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/152234952_884804162064698_8098676629409696109_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=U79ETOiperoAX8nMJWW&tp=1&oh=d425bf01655c72304824b25d9e81cb25&oe=606038FF,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': ""...E ora che sono senza fiato \nPuoi darmene un po' tu\n#torino #piemonte #mostra #gam #arte #musica #mace #venerus""}}]",0,1350,1080,57,57,238577210,
False,2512093649427700532,CLcv91Qpxs0,1613684920,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/151133022_2898313813747273_7657019604322890929_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=A_NtTe_YFTIAX8hsxMo&tp=1&oh=7e8b7e6a909483c7405fc76fdc595d31&oe=6060384A,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': 'Feed your soul! #artecontemporanea #torinoarte #torinocultura #foodforsoul'}}],0,1080,1080,32,32,4136530476,
False,2512075070420267904,CLcrveNg7OA,1613682706,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/151152727_735845557106491_8229854626674911941_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=L3z0adg0Hy4AX-1W_AL&tp=1&oh=c71f32d71866bfa091727ce36777dbc4&oe=605E1130,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '♦️\nVoce del verbo piroettare \n\n#mincornicio'}}],0,1080,1080,49,49,2124433096,
False,2512066376863370078,CLcpw9tJMte,1613681669,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/152368638_1074691596348033_1614224793564549327_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=uZR312QBBA8AX8Hojgc&tp=1&oh=ccdf4bb88cf4cb80703fe98f472010d7&oe=605EF20C,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': 'Feed your soul! #artecontemporanea #gam #torinocultura #foodforsoul'}}],0,1080,1080,41,41,604640265,
False,2512034092214053010,CLcibKSFuiS,1613677821,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/151084194_212069270619082_7498077351916578422_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=wNSF2mbQFWAAX8S0bHL&tp=1&oh=930a9121e7d46c1edb5496c124072f52&oe=605FFFDD,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': 'tb.\n🗽 @tempsamour'}}],2,1350,1080,78,78,329036573,
False,2511951748521720351,CLcPs5vjvof,1613668005,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/151837391_108562797926657_7432075087048402742_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=X4HOm4Hk8B4AX8e6gFO&tp=1&oh=1d05a6b70abdd4c2aa513fec67fb883f&oe=605CD349,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '_La gabbia dello Specchio_\n@gamtorino #michelangelopistoletto #artepovera #mirror #contemporaryart #girlsinmuseums #artribune'}}],1,1080,1080,48,48,347405174,
False,2511891647585234020,CLcCCUYlqxk,1613660840,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/150543328_816386625755713_5004834959267837477_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=QGSW3Y4T36MAX99XUYv&tp=1&oh=45db17514fb119eb0cb2f87f4bdeb9d6&oe=60600ED3,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': 'È LEI, la grande arte italiana. \nChe più la guardi, più TI guarda (e non smette mai di stupire)\n💚🤍❤️\nItalo Cremona\nLucio Fontana\nAlberto Burri\nPino Pascali\nGiulio Paolini\nMario Merz\nMichelangelo Pistoletto\nAlighiero & Boetti\n\n#italianart #italocremona #luciofontana #spazialismo #albertoburri #informale #pinopascali #artepovera #michelangelopistoletto #alighieroboetti #giuliopaolini #contemporaryart #artcurator #torino #artinturin'}}]",4,1350,1080,120,120,5743595700,
False,2511808356457712998,CLbvGRehQ1m,1613650911,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/151787574_843995602814399_344291096241183848_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=Xu1-kinIY3EAX-LRS4J&tp=1&oh=ee52cd3f397628cda926d1ae9aebf45c&oe=605C92D1,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]","[{'node': {'text': ""Da Morandi a Fontana, passando per Burri, Levi Montalcini, Veronesi, D'Orazio e tanti altri artisti (anche stranieri, con opere di Picasso e Chagall). Un breve ma intenso percorso alla scoperta del novecento artistico\n#gam #gamtorino #torino #turin #art #artlover #italy #italia #tourist #tourist #museum #passion #lover #contemporaryart #900 #century #modernism #postmodern""}}]",0,1080,1080,33,33,258715191,
False,2511751558920815390,CLbiLwpgkMe,1613644140,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/150743125_802003433860042_7728170520583180388_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=AYvIDTeZW6UAX-XU_S7&tp=1&oh=ab025d73bb2664dd4fbcdc62e864474b&oe=605E4C78,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': 'AUTORITRATTI AL MUSEO\n@gamtorino\nContemplato enim- G. Paolini\nRitratto di @b52dani\n#museo #museum #photooftheday #photographer #photography #art #artist #cultura #curator #artgallery #contemporaryartist #contemporaryart #contemporaryphotography #fotografia #arte #conceptart #conceptualphotography'}}],2,720,1080,25,25,7118951169,
False,2511380277344290192,CLaNw5vB0WQ,1613599880,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/150782706_716414639243169_391538277395373826_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=r67U0pdGs3MAX-mEuXZ&tp=1&oh=b68d9773eefb8e4b2c941619b36f85ee&oe=605F9423,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '#gamtorino #museiaperti'}}],0,1080,1080,10,10,6087729590,
False,2511335809778906035,CLaDp0FlvOz,1613594579,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/150567889_773124310077239_6264279848817104737_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=6Vknb2Xaa-oAX_oT6AA&tp=1&oh=af8150d77abe69c478ea4cf252adc92f&oe=605F61EF,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': 'Eight ceilings  Black ink on the museum staircase’s ceilings  @nedko.solakov @gamtorino'}}],0,1077,1080,29,29,2257854390,
False,2511332194137724982,CLaC1MwlNg2,1613594148,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/150773431_2876470869291311_5656888002147559326_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=esWkLaiOXREAX_1nOGb&tp=1&oh=d85746f84d3df5f986aa825dc535af23&oe=605C98F9,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '🤍❤️🤎🖤'}}],2,1080,1080,57,57,2257854390,
False,2511328848702269639,CLaCEhFFujH,1613593749,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/150579185_1053828821794504_177006223603352942_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=v6bU9G2o4LcAX8Y9JqO&tp=1&oh=f300ea574b3232b2f2822e472db495e7&oe=605D8C10,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '#photoactionpertorino #gamtorino #ugionlus'}}],0,1080,1080,37,37,2257854390,
False,2511172186807769526,CLZecyUhJm2,1613575074,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/151345168_464453301378131_7109059837720302079_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=bMKgjMegFFEAX8rVaa3&tp=1&oh=85f7e67724bdf8384451a103d223e1b7&oe=605F4422,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': 'Innamorato\n#emiliovedova #art #contemporaryart #photo #modern #gam #arte #painting #shape #colours #blackandwhite #eyes #contemplation #abstractionism #sight'}}],0,1079,1080,64,64,258715191,
False,2511147246362645374,CLZYx2uJVN-,1613572100,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/150512265_432071948113271_5919859581953175086_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=2jzPcKRMaj4AX_53YUi&tp=1&oh=7fc6bcfa822a3bb9c33e2e7d0720def2&oe=605CFB80,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': '#artecontemporanea #evvivaimusei #artecomecultura'}}],0,1080,1080,15,15,1204247344,
False,2510952886759679404,CLYsljPDWWs,1613548931,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/151046567_884412245649380_4494826667756822571_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=108&_nc_ohc=cVXYxCvtzloAX9oxFbU&tp=1&oh=641f38e2e40b621594e1d935e3e2838a&oe=605DE726,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[{'node': {'text': 'Quanta speranza ho visto in questa tela.'}}],2,1080,1080,67,67,229523877,
False,2510555022146484461,CLXSH28HTjt,1613501502,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/150382292_331238434930103_5174938603471168174_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=tVFfpG16w9gAX_LM-fi&tp=1&oh=813d72fbec893f3aecef90a644e0bc07&oe=605EF779,False,2068445810127772,GAM Torino,gam-torino,"[45.06489096959, 7.6691889233856]",[],0,1080,1080,36,65,6110160476,
